y cov1 cov2
10.0031581403988 -0.082271 -0.064875
11.9983874623971 -0.079114 -0.068167
9.00061161364545 -0.081068 -0.056846
5.98636535031877 -0.082542 -0.063059
9.98300120121654 -0.0786 -0.064641
7.98621960110091 -0.081873 -0.067404
9.99209120801303 -0.080316 -0.05371
10.996738695908 -0.080256 -0.056444
7.00503866452107 -0.080456 -0.044654
11.0069048268443 -0.08099 -0.07142
7.99792025902066 -0.080631 -0.071037
9.01094228790895 -0.079926 -0.061641
10.9790022080327 -0.082023 -0.067723
13.9914969815199 -0.081824 -0.058975
11.012552390763 -0.081581 -0.064855
6.99361245343883 -0.082129 -0.052366
13.0052261513367 -0.081052 -0.061536
12.0093855049931 -0.080149 -0.063855
9.01692085716059 -0.082152 -0.066413
11.0018720918272 -0.080962 -0.055541
11.9955445064949 -0.079179 -0.064556
15.0059333208383 -0.082923 -0.061801
7.99548905616161 -0.08052 -0.082429
6.99600115772208 -0.082437 -0.065421
9.00143905014565 -0.083958 -0.055591
7.00680268711252 -0.081814 -0.06359
8.01912050492079 -0.082908 -0.058849
10.9797534994447 -0.082936 -0.051721
9.00881071747598 -0.081203 -0.068793
8.99301822088429 -0.082635 -0.061665
8.00361176421934 -0.083179 -0.060199
5.01346067535488 -0.080753 -0.062662
11.0000075055731 -0.082817 -0.060219
9.02108395384017 -0.079594 -0.054321
6.00153880691919 -0.08306 -0.056945
6.98142251939317 -0.081709 -0.04229
6.99774120017852 -0.08284 -0.052788
6.99800382900668 -0.079874 -0.067237
10.9933376220479 -0.083085 -0.056967
10.0048889319408 -0.079651 -0.055687
7.98777260353298 -0.08404 -0.066732
10.0045055557151 -0.083468 -0.046101
5.01274920596471 -0.082285 -0.051188
7.9983430733917 -0.083243 -0.0668
10.9921396625754 -0.083276 -0.069755
5.0125135900405 -0.08392 -0.05286
10.9976226167586 -0.083134 -0.062267
10.0006718412764 -0.083164 -0.052677
6.00377959035294 -0.083738 -0.059253
6.99785549895589 -0.082093 -0.05863
10.0251824989047 -0.082958 -0.070062
6.98908491459759 -0.081676 -0.070113
7.01137751076856 -0.082436 -0.058656
5.99290268183585 -0.081102 -0.065504
10.0111879346709 -0.083302 -0.066047
